1;10;1
1;11;1
1;12;0.4
1;14;0.8
1;16;0.4
1;17;1
1;18;0.4
1;24;0.4
1;39;0.4
2;14;0.8
2;15;1
2;19;0.8
2;20;1
2;21;0.4
2;22;0.4
2;139;0.4
2;24;0.4
2;123;0.6
3;33;0.5
3;26;0.8
3;27;0.8
3;28;0.5
3;25;1
3;140;1
4;29;0.4
4;30;0.4
4;31;0.7
4;32;1
4;123;1
5;11;1
5;34;1
5;35;0.9
5;36;0.4
5;12;1
5;76;0.8
6;70;0.8
6;38;1
6;39;1
6;40;0.4
6;124;0.4
6;12;1
7;125;1
7;126;1
7;127;1
7;128;0.7
7;129;0.7
8;6;0.4
8;16;0.4
8;42;1
8;43;0.8
8;44;0.4
8;45;0.7
8;46;0.4
8;123;0.7
8;41;1
9;4;0.4
9;6;1
9;44;1
9;46;0.4
9;47;0.7
9;48;0.7
9;3;1
9;8;0.9
10;1;0.4
10;7;1
10;43;0.4
10;49;0.6
10;50;1
10;53;1
10;72;0.8
11;1;0.4
11;16;0.4
11;51;1
11;52;0.8
11;49;0.4
11;43;0.4
11;54;1
12;29;0.4
12;99;0.7
12;55;0.4
12;56;0.4
12;57;0.4
12;23;1
13;9;0.4
13;16;0.4
13;24;1
13;29;1
13;56;0.4
13;57;0.4
13;59;1
14;6;1
14;9;0.4
14;16;0.8
14;1;1
14;24;0.4
14;30;0.4
14;44;0.4
14;123;1
15;6;0.7
15;29;0.4
15;44;0.7
15;46;0.4
15;58;0.4
15;60;0.8
15;108;0.8
15;107;1
15;10;1
16;6;0.7
16;7;1
16;9;0.4
16;16;0.4
16;30;1
16;44;0.7
16;50;1
16;58;0.4
16;65;1
16;74;1
17;6;0.4
17;9;0.4
17;24;0.4
17;44;0.4
17;57;0.8
17;62;1
17;63;1
18;26;0.4
18;29;0.8
18;55;0.4
18;78;1
18;79;1
18;80;1
18;81;1
19;15;1
19;57;0.5
19;77;0.4
19;81;1
19;85;0.9
19;86;0.8
19;87;1
20;123;0.4
20;66;1
20;73;1
20;82;1
20;61;1
20;83;0.8
21;89;1
21;92;0.4
21;38;0.4
21;94;1
21;95;0.8
21;96;1
21;97;1
21;75;1
22;90;1
22;91;0.8
22;19;0.8
22;11;0.8
22;64;1
22;93;1
23;6;0.8
23;39;0.5
23;98;1
23;110;0.7
23;92;0.5
23;44;0.4
24;130;1
24;131;0.9
24;53;1
24;136;0.7
25;101;0.8
25;102;1
25;103;0.6
25;104;1
25;132;1
25;123;0.6
25;137;0.9
26;13;0.8
26;123;1
26;133;1
26;134;0.6
26;109;0.5
27;106;0.4
27;133;0.4
27;134;0.6
27;105;1
27;13;1
27;123;0.4
28;138;0.7
28;109;1
28;123;0.4
28;133;0.7
28;134;0.7
28;67;1
29;6;0.9
29;5;0.7
29;2;0.8
29;68;1
29;111;0.8
29;112;1
30;113;1
30;84;1
30;123;0.4
30;88;0.4
31;15;0.4
31;19;1
31;114;1
31;115;1
31;116;0.6
31;123;1
31;71;0.8
32;12;0.6
32;14;1
32;19;1
32;20;1
32;37;0.4
32;135;1
32;34;0.6
32;69;1
33;15;0.9
33;21;1
33;118;0.7
33;117;0.6
33;123;1
34;15;0.6
34;21;1
34;46;0.4
34;119;0.7
34;122;0.8
34;120;0.8
34;121;0.7
34;123;1
